Strategic Recommendations — 90 / 180 / 365 Day Plan,,,,
"10 prioritised recommendations with specific actions, owners and success metrics.",,,,
,,,,
#,Recommendation,Specific Actions,Timeline,Success Metric
1,Win the 'Kokapet' SEO land-grab before Medicover opens,"Register Unicare GMB + verify; publish 12 Kokapet-localised landing pages (gynaecologist Kokapet, paediatrician near Narsingi, best maternity hospital Puppalaguda, etc.); add Schema.org Hospital + Physician mark-up; build 30 local backlinks (Kokapet community blogs, resident WhatsApp groups, Magicbricks, 99acres locality pages).",Days 0–90,Rank top-3 on GMB map pack for 10+ 'specialty + Kokapet' queries by Day 120; 300+ branded searches/month by Day 180.
2,Build founder-doctor personal brands,"Each founder-doctor gets a handle-branded Instagram + LinkedIn. 3 Reels/week per doctor (60–90 sec, vertical). Topics: pregnancy myth-busting, kids fever first-aid, orthopaedic pain hacks for WFH. Content shot on an iPhone, edited with CapCut. Appoint one internal content manager.",Days 0–180,10K followers on founder-doctor handle by Day 180; 30%+ Reel-to-profile-visit rate.
3,Launch Unicare Family Health Passport,"Three tiers: Silver (₹9,999/year — antenatal visits + paediatric pack + 2 GP consults); Gold (₹24,999/year — adds annual full-body); Platinum (₹49,999/year — full family + elderly parents + 24/7 doctor WhatsApp). Price transparently on website.",Days 30–120,200 subscriptions sold in 6 months (₹60L ARR); 15%+ of first-time patients convert to passport.
4,Aggressive Google review flywheel,"QR code on discharge summary + follow-up WhatsApp in Day-1 post-discharge: 'Please tell us what we can improve — if you loved your visit, please share on Google'. Only link happy patients to Google; route unhappy patients to an internal recovery call.",Day 1 onwards,500+ Google reviews in 12 months; sustain 4.6+ rating.
5,Positioning around honest 'no emergency' — the Scheduled Care Hospital,Own the 'scheduled & same-day care' category vs '24/7 emergency trauma'. Partner with a nearby 24/7 trauma centre (Care Hospitals HITEC City / Continental Gachibowli) for formal handoff protocol. Publish the protocol publicly.,Days 30–90,0 patient complaints about emergency gap; 1 formal partnership MoU signed.
6,Corporate Health Partnerships with 5 IT campuses,"Target Microsoft India, TCS, Amazon Hyderabad, Deloitte, Cognizant. Offer: free on-campus health camp quarterly + discounted family passport + cashless OPD. Assign one full-time corporate relationship manager.",Days 60–240,5 signed corporate MoUs in year 1; 800+ corporate-registered patients.
7,Meta Ads engine targeting Kokapet 7–10 km radius,"Three campaigns running simultaneously: (a) Maternity package lead-gen, (b) Paediatric vaccination reminder, (c) Executive health check-up. Creatives: founder-doctor 15-sec Reels. Daily budget ₹1,500 to start, scale to ₹5,000 at CPL <₹200.",Days 30–365,CPL <₹200 by Day 90; 120+ qualified leads/month by Day 180.
8,WhatsApp Business API with <15 min response SLA,Deploy WATI/Gupshup; integrate with Kokapet CRM; auto-route pregnancy / paeds / ortho enquiries to the right front-desk agent; market the 15-min SLA as a guaranteed promise.,Days 30–60,60% of digital leads respond via WhatsApp; 25%+ WhatsApp-to-appointment conversion.
9,Bilingual content engine (English + Telugu Reels),"Weekly 'Amma Diary' series hosted by the lead gynaecologist. Cover each week of pregnancy in Telugu + English short-form. Repurpose to YouTube Shorts, LinkedIn, WhatsApp broadcast list.",Days 0–365,3 Reels/week consistently; 1 Reel to 100K+ organic views in first 6 months.
10,Publish maternity & health check-up prices transparently,"One public pricing page with all packages, TPA coverage map, EMI via Bajaj Finserv. PR-worthy headline: 'Hyderabad's first premium hospital to publish maternity prices'.",Days 0–60,10% increase in package enquiries; 1 earned-PR story within 90 days.
