Client Profile — Extracted from Onboarding Sheet,,
Translates the onboarding questionnaire into a structured strategic brief.,,
,,
Category,Attribute,Strategic Brief
Business,Official Name,Unicare Hospitals
Business,Area / Locality,"Kokapet (west Hyderabad — adjacent to Financial District, Narsingi, Puppalaguda, Nanakramguda)"
Business,Hospital Type,Mid-sized multi-specialty neighbourhood hospital
Business,Bed Capacity,35–50 beds (boutique scale vs 200–800-bed incumbents)
Founding Story,Founder Insight,Gap identified: no mid-sized PREMIUM neighbourhood hospital with excellent doctors and facilities between the budget clinics and the 500+ bed tertiary brands
Founding Story,Founder-Doctor Brand,Founders are practicing doctors — intent to be the face of the brand (major differentiator vs corporate hospitals)
Services,Current Specialties,"Obstetrics & Gynaecology, General Medicine, General Surgery, Neonatology/Paediatrics, Orthopaedics"
Services,OPD Coverage,All current specialties
Services,IPD / ICU,Yes (in-patient + ICU/HDU)
Services,Emergency 24x7,NO — planned gap to address in positioning
Services,Surgical Facilities,Yes — all current specialties
Services,Diagnostics & Lab,"In-house X-ray, ultrasound, ECG, lab"
Services,Pharmacy,In-house
Services,Maternity & Neonatal,Yes — flagship vertical candidate
Services,Paediatrics,Dedicated unit — flagship vertical candidate
Services,Allied Health,"Physiotherapy, nutrition counselling"
Services,Pipeline (6–12 mo),"ENT, Pulmonology"
Audience,Primary Patient Profile,"Age 25+, middle / upper-middle income, nuclear & young families, IT professionals"
Audience,Geographic Catchment,"7–10 km radius of Kokapet (pincodes 500075, 500089, 500032, 500008, 500033)"
Audience,Acquisition Model,Walk-in + doctor referrals + planned corporate tie-ups
Audience,Positioning,Premium
Pricing,Consultation Fee,₹600+ (matches upper mid to premium band)
Pricing,Pricing Philosophy,Premium — not competing on price
Pricing,Insurance / TPA,Planned empanelment (not yet live)
Pricing,Govt Schemes,No Ayushman / CGHS / ESI — consistent with premium positioning
Pricing,Corporate Tie-ups,Planned — strong fit given IT / corporate catchment
Pricing,EMI / Payment Plans,Not offered — opportunity to add via Bajaj / Pine Labs
Medical Team,Full-time Doctors,5 full-time + visiting consultants planned
Brand,Brand Tone,Blended — warm & human + professional & clinical + modern & tech-forward
Brand,Logo Preference,Symbol + wordmark
Brand,Color Preferences,Open — no constraints (recommendation on Sheet 7)
