Positioning Angle & Recommended Marketing Channel Mix,,,,,
"Where to plant the flag — and how much to invest, where, and in what order.",,,,,
,,,,,
SUGGESTED POSITIONING STATEMENT,,,,,
"For Kokapet families who want tertiary-grade care without the tertiary-hospital experience, Unicare is the premium neighbourhood hospital where the doctors who own it also see your family — combining the trust of a 30-year family GP with the facilities, diagnostics and specialists of a 300-bed institution. We don't do everything — we do routine family care, maternity, paediatrics, orthopaedics and general surgery exceptionally well, close to home.",,,,,
,,,,,
POSITIONING AXIS,,,,,
Dimension,Market Default,Unicare's Chosen Position,Why This Works,,
Breadth,Multi-specialty 'everything hospital',"Focused family hospital (OB, paeds, GenMed, GenSurg, ortho)",Narrow focus creates memorability; matches our 35–50 bed scale,,
Scale,Bigger-is-better (500+ beds),Intentionally small — 'the hospital that still knows your name',"Neighbourhood scale is the benefit, not the limitation",,
Emergency,24x7 trauma & emergency,"Scheduled & same-day planned care, formal trauma partner","Honest, distinctive, partnership-enabled",,
Voice,Corporate / clinical,"Founder-doctor led, bilingual, warm, evidence-based",Humans trust humans; founder-doctors are the biggest moat,,
Pricing,"Opaque, call-to-know",Transparent published package pricing,Rare in Indian healthcare; becomes PR-worthy differentiator,,
Experience,"Long waits, passive service",<15-min OPD wait guarantee + WhatsApp <15-min response SLA,Addresses the universal top complaint; makes promise visible,,
Service Model,Transactional visit,Family Health Passport — recurring membership,Creates predictable revenue + higher patient LTV,,
,,,,,
RECOMMENDED CHANNEL PRIORITY (Year 1),,,,,
Priority,Channel,Why Now,KPI,% of Digital Budget,Expected CPL
P0,Local SEO + GMB + Locality landing pages,Zero incumbents own 'Kokapet + specialty' keywords today — land-grab window,Map-pack top-3 for 15 queries,15%,₹0 (organic)
P0,Google Reviews generation programme,Rating + volume = conversion multiplier across every other channel,"500+ reviews, 4.6+ rating",3%,₹0–₹50 (tools & QR printing)
P1,Founder-Doctor Instagram Reels + YouTube Shorts,Biggest moat vs corporate competitors; drives branded search compounding,10K followers / doctor in 6 mo,20%,₹100–₹300 (assisted)
P1,Meta Ads (Facebook + Instagram lead-gen),Hyper-local targeting works; package lead-gen converts fast,120 qualified leads/month,25%,₹150–₹250
P1,WhatsApp Business API + broadcasts,Direct channel; 5x form-fill conversion; owned audience,25% lead-to-appointment,5%,₹0 (owned)
P2,Google Search Ads (specialty + locality),Intent traffic; expensive but highest-intent,CPL <₹300 on maternity,15%,₹250–₹500
P2,Content SEO (doctor-authored blog + FAQ),Compounds over 6–12 months; builds topical authority,5K organic sessions/month,7%,₹50–₹150 (organic)
P2,"LinkedIn (corporate tie-ups, HR outreach)",Kokapet catchment has Microsoft/TCS/Amazon; B2B acquisition channel,5 corporate MoUs in Y1,5%,"₹500–₹1,000 (B2B)"
P3,"YouTube long-form (doctor explainers, facility tour)",Backs every other channel; E-E-A-T signals,20 videos in Y1; 50K views,3%,₹200–₹400 (assisted)
P3,"Local partnerships (GP network, pharmacies, creches)",B2B referral engine; compounds in year 2+,50 partner GPs in Y1,2%,₹100–₹300
,,,,,
Total digital budget check,,,,100%,
